"";"Harry Potter i Czara Ognia";"Harry Potter i Insygnia Smierci";"Harry Potter i Kamien Filozoficzny";"Harry Potter i Komnata Tajemnic";"Harry Potter i Ksiaze Polkrwi";"Harry Potter i Przeklete Dziecko";"Harry Potter i Wiezien Azkabanu";"Harry Potter i Zakon Feniksa";"Opowiesci z Narni. Kon i jego chlopiec";"Opowiesci z Narni. Ksiaze Kaspian";"Opowiesci z Narni. Lew, czarownica i stara szafa";"Opowiesci z Narni. Ostatnia bitwa";"Opowiesci z Narni. Podroz Wedrowca do Switu";"Opowiesci z Narni. Siostrzeniec Czarodzieja";"Opowiesci z Narni. Srebrne krzeslo";"Zmierzch.Ksiezyc w Nowiu";"Zmierzch.Przed Switem";"Zmierzch.Zacmienie";"Zmierzch.Zmierzch"
"akcja";0,00373880661666891;0;0;0;0;0,00197110659712985;0;0;0,0369856251767004;0;0;0;0;0;0;0;0;0;0
"aktualny";0;0,00236902079755185;0;0;0;0;0;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"alastor";0,00186940330833445;0,00194235230687267;0;0;0;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"albus";0,00394511673121022;0;0,00450035538226944;0;0,00248389780491004;0,056572565105168;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusa";0;0,00971176153436334;0;0;0,00294250277648887;0,0275954923598179;0;0;0;0;0;0;0;0;0;0;0;0;0
"albusie";0;0,00236902079755185;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"alice";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0520353591074904;0,0164482500983677;0,0192955151368548;0,00871289733892863
"amos";0,0011400236972424;0;0;0;0;0,00961636569487368;0;0;0;0;0;0;0;0;0;0;0;0;0
"amosa";0,0011400236972424;0;0;0;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"anglii";0;0;0;0,00389892388392742;0;0;0;0;0;0;0,00506267112684872;0,0403479547382186;0;0;0;0;0;0;0
"animagiem";0,0011400236972424;0;0;0;0;0;0,00644430062191188;0;0;0;0;0;0;0;0;0;0;0;0
"aragog";0;0;0;0,00475538435350452;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"aresztowac";0;0;0;0;0,00358887018060065;0;0;0;0;0;0,00308738356791215;0;0;0;0;0;0;0;0
"argument";0,0011400236972424;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00792177442303314;0;0
"armia";0;0;0;0;0;0;0;0;0;0;0,0123495342716486;0;0;0;0;0;0;0,0278792061239793;0
"aro";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00751835072556386;0,0237653232690994;0;0
"artur";0,000934701654167227;0,00194235230687267;0;0;0;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"artykul";0,00560820992500336;0,00194235230687267;0;0;0;0;0;0,00601800002875125;0;0;0;0;0;0;0;0;0;0;0
"aslan";0;0;0;0;0;0;0;0;0;0,0263616232919823;0,0363258248370161;0;0,00530171583359336;0,0335511569170684;0;0;0;0;0
"aslana";0;0;0;0;0;0;0;0;0;0,0159559542798527;0,0158076522121904;0,0503928791734069;0,0196104364707834;0,0496407466484307;0,0263962700432132;0;0;0;0
"aslanie";0;0;0;0;0;0;0;0;0;0,00692521857877097;0,00617476713582431;0;0;0;0;0;0;0;0
"astronomia";0;0;0;0;0;0;0;0,00366997459146168;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"atak";0,000438022995241694;0;0;0;0,00413677628765829;0;0,00123802332682895;0;0,0173323265756054;0,00133041312733858;0;0;0,00294322526755563;0;0,00990418661463163;0,00288872109593423;0;0;0
"atakowac";0,000676026471939706;0,00140481358027442;0;0;0;0;0,00191071370888514;0,00870508211776824;0;0,00410660856835016;0;0;0;0;0;0;0;0;0
"aurora";0,00228004739448479;0,00236902079755185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"avada";0,00186940330833445;0,00194235230687267;0;0;0,00294250277648887;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanie";0,00186940330833445;0;0;0;0;0,00197110659712985;0,00264183036976431;0;0;0;0;0;0;0;0;0;0;0;0
"azkabanu";0,000789023346242045;0;0;0,0032912555101663;0,00248389780491004;0;0,00223008681889245;0;0;0;0;0;0;0;0;0;0;0;0
"bac";0;0;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0,0158435488460663;0;0
"bajka";0;0,00236902079755185;0;0;0;0;0;0;0;0,00692521857877097;0;0;0;0;0;0;0;0;0
"bal";0,00373880661666891;0;0;0;0;0,00197110659712985;0;0;0;0;0;0;0;0;0;0;0;0;0,0103215698167536
"banda";0;0,00710706239265555;0;0;0,00358887018060065;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bardziej";0,00338013235969853;0;0;0;0;0,00285122045678197;0,00191071370888514;0;0;0,00205330428417508;0;0;0,0136273543765771;0;0;0;0;0;0
"baron";0;0;0;0;0;0;0;0;0;0,00692521857877097;0;0;0,0612816511970488;0;0;0;0;0;0
"bawic";0;0;0;0;0,00358887018060065;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"bedac";0;0;0;0;0;0;0,00528366073952863;0;0,0369856251767004;0;0;0;0;0;0,0211346429581145;0;0;0;0
"bell";0;0;0;0;0,0085127046124032;0;0;0;0;0;0;0;0;0;0;0,0713333117983786;0,0563707146894504;0,0909270111764741;0,0746511402541172
"bellatriks";0;0,00776940922749068;0;0;0,00294250277648887;0;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"belle";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0369856251767004;0,0259801464655847;0;0,0412862792670144
"belli";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0468318231967414;0,0493447502951031;0,0578865454105644;0,0609902813725004
"bestia";0,00228004739448479;0;0;0;0;0;0;0;0;0,00346260928938549;0;0;0;0;0;0;0;0;0
"bezpieczny";0,00131406898572508;0,00182046318518393;0;0,00182712666682809;0;0;0,00123802332682895;0;0;0;0;0;0,00294322526755563;0;0;0,00577744219186845;0,00304372564254533;0,00535591207486517;0
"biala";0;0;0;0;0;0;0;0;0;0,00346260928938549;0,040135986382858;0;0;0;0;0;0;0;0
"biblioteka";0,000789023346242045;0;0,00675053307340416;0,0032912555101663;0;0,00499169692104423;0;0;0;0;0;0;0;0;0;0;0;0;0
"bic";0;0;0;0,00475538435350452;0;0;0,0128886012438238;0;0;0;0;0;0;0;0;0;0;0;0
"biegnac";0,00135205294387941;0,00140481358027442;0,00385585469180425;0;0;0;0,00191071370888514;0;0;0;0;0;0;0;0;0;0;0;0,00746511402541172
"billa";0,00186940330833445;0,00582705692061801;0;0;0,00588500555297774;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"bitwa";0;0,00280962716054883;0;0;0;0;0;0;0;0,00821321713670031;0,00549239377915273;0;0;0;0;0;0,0046975595574542;0,024798275775402;0
"biuro";0;0;0;0,00779784776785484;0;0,00197110659712985;0;0,00300900001437563;0;0;0;0;0;0;0;0;0;0;0
"blacka";0;0;0;0;0;0;0,00264183036976431;0;0;0;0;0;0;0;0;0,0061642708627834;0;0;0,0103215698167536
"blackiem";0;0;0;0;0;0;0,00322215031095594;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"blacku";0;0,00236902079755185;0;0;0;0;0,00322215031095594;0;0;0;0;0;0;0;0;0;0;0;0
"blad";0,000934701654167227;0;0;0;0;0,00197110659712985;0,00264183036976431;0;0;0;0;0;0;0;0;0;0;0;0
"bledny";0;0;0;0;0;0;0,00322215031095594;0,00366997459146168;0;0;0;0;0;0;0;0;0;0;0
"bliski";0;0;0;0,00475538435350452;0;0,00240409142371842;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizna";0,00560820992500336;0;0,0026656306433658;0;0;0,0039422131942597;0;0;0;0;0;0;0;0;0;0;0;0;0
"blizniak";0,00342007109172719;0;0;0;0;0;0;0;0,0451101043533831;0;0;0;0;0;0;0;0;0;0
"blona";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0257772024876475;0;0,00792177442303314;0;0
"blyskawica";0;0;0,00325117869213572;0;0;0;0,00966645093286781;0;0;0;0;0;0;0;0;0;0;0;0
"bohater";0;0,00280962716054883;0;0,00281991130096079;0;0,00142561022839099;0;0;0,026749991924392;0;0;0;0;0;0;0,00891666397479733;0;0;0
"boi";0,000583701303166876;0,00121295770439273;0;0,00243479504058921;0;0,00123091414709284;0,00164976687770082;0,00187905651155077;0;0;0;0;0;0;0;0;0;0;0
"boisko";0,00228004739448479;0;0;0,00475538435350452;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
